Zm00001d000001	 ppo1;polyphenol oxidase1: vegetative meristem cDNA 7C02D02	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028424	Immature colon carcinoma transcript 1 protein  	 [source: RefGen_v3] 
Zm00001d028425	Chloride conductance regulatory protein ICln	[source:homolog]
Zm00001d028426	40S ribosomal protein S20-1	[source:homolog]
Zm00001d028427	40S ribosomal protein S20  	 [source: RefGen_v3] 
Zm00001d028428	Calcium-binding EF-hand family protein	[source:homolog]
Zm00001d028429	HVA22-like protein i	[source:homolog]
Zm00001d028432	Nuclear transcription factor Y subunit C-1  	 [source: RefGen_v3] 
Zm00001d028434	Cryptochrome-1	[source:homolog]
Zm00001d028436	V-type proton ATPase subunit a3	[source:homolog]
Zm00001d028437	Calcium-dependent lipid-binding (CaLB domain) family protein	[source:homolog]
Zm00001d028438	Guanine-nucleotide-exchange protein  	 [source: RefGen_v3] 
Zm00001d028439	Protein kinase superfamily protein	[source:homolog]
Zm00001d028440	Probable carboxylesterase 8	[source:homolog]
Zm00001d028443	Long chain base biosynthesis protein 1	[source:homolog]
Zm00001d028445	RAD-like 3	[source:homolog]
Zm00001d028446	 pmk1;Phosphomevalonate kinase1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028447	 bnlg1484; :	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028450	Ubiquitin-fold modifier-conjugating enzyme 1	[source:homolog]
Zm00001d028452	Glyoxal oxidase  	 [source: RefGen_v3] 
Zm00001d028454	L-type lectin-domain containing receptor kinase V.9	[source:homolog]
Zm00001d028455	L-type lectin-domain containing receptor kinase V.9	[source:homolog]
Zm00001d028456	Regulator of Vps4 activity in the MVB pathway protein	[source:homolog]
Zm00001d028457	Regulator of Vps4 activity in the MVB pathway protein	[source:homolog]
Zm00001d028458	Catalytic/ oxidoreductase%2C acting on NADH or NADPH  	 [source: RefGen_v3] 
Zm00001d028461	DUF2146 family protein	[source:homolog]
Zm00001d028464	Rho GTPase activation protein (RhoGAP) with PH domain	[source:homolog]
Zm00001d028470	Phosphatidylserine decarboxylase proenzyme 3	[source:homolog]
Zm00001d028471	 pck1;phosphoenolpyruvate carboxykinase1: C4 photosynthesis, decarboxylation of aspartate in bundle sheath cytosol, accounts for transfer of about 1/4 C02 fixed in mesophyll cells	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028472	Far-red impaired responsive (FAR1) family protein	[source:homolog]
Zm00001d028473	Protein CHAPERONE-LIKE PROTEIN OF POR1 chloroplastic	[source:homolog]
Zm00001d028474	Beta-galactosidase  	 [source: RefGen_v3] 
Zm00001d028475	Probable E3 ubiquitin-protein ligase LOG2	[source:homolog]
Zm00001d028477	Chorismate synthase chloroplastic	[source:homolog]
Zm00001d028481	 tpl2;topless-related2:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028482	Patatin-like protein 3  	 [source: RefGen_v3] 
Zm00001d028484	Disease resistance protein RPS5	[source:homolog]
Zm00001d028485	Probable mitochondrial import inner membrane translocase subunit TIM21	[source:homolog]
Zm00001d028486	Chemocyanin  	 [source: RefGen_v3] 
Zm00001d028488	Calmodulin-binding transcription activator 2	[source:homolog]
Zm00001d028490	ERAD-associated E3 ubiquitin-protein ligase component HRD3A	[source:homolog]
Zm00001d028495	Putative dynamin-related protein 4A	[source:homolog]
Zm00001d028496	PHD finger protein ALFIN-LIKE 6	[source:homolog]
Zm00001d028497	Putative dynamin-related protein 4A	[source:homolog]
Zm00001d028498	B-block binding subunit of TFIIIC	[source:homolog]
Zm00001d028501	Lon protease homolog 2 peroxisomal	[source:homolog]
Zm00001d028502	Alpha-galactosidase 1	[source:homolog]
Zm00001d028503	CLE family OsCLE302 protein;  protein	[source:homolog]
Zm00001d028504	Transcription factor AIG1	[source:homolog]
Zm00001d028505	Phospholipase A2-alpha	[source:homolog]
Zm00001d028508	Sucrose synthase 3	[source:homolog]
Zm00001d028509	Chaperone DnaJ-domain superfamily protein	[source:homolog]
Zm00001d028510	Protein FAF-like chloroplastic	[source:homolog]
Zm00001d028511	ARM repeat superfamily protein	[source:homolog]
Zm00001d028512	 mmp66; : Similar to Arabidopsis and Medicago trunculata Phosphatidylinositol-4-phosphate 5-kinase	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028513	PYM protein  	 [source: RefGen_v3] 
Zm00001d028514	Mitogen-activated protein kinase kinase kinase 1	[source:homolog]
Zm00001d028515	Eukaryotic translation initiation factor NCBP	[source:homolog]
Zm00001d028517	COP9 signalosome complex subunit 3	[source:homolog]
Zm00001d028521	Cyclin-dependent kinase B1-1	[source:homolog]
Zm00001d028522	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	[source:homolog]
Zm00001d028524	Ethylene-responsive transcription factor ERF014	[source:homolog]
Zm00001d028526	Scarecrow-like protein 26	[source:homolog]
Zm00001d028528	Mitochondrial phosphate carrier protein 3 mitochondrial	[source:homolog]
Zm00001d028529	hydroxyproline-rich glycoprotein family protein	[source:homolog]
Zm00001d028531	glycine-rich protein	[source:homolog]
Zm00001d028532	CONSTANS interacting protein 4  	 [source: RefGen_v3] 
Zm00001d028533	Calcium ion binding protein  	 [source: RefGen_v3] 
Zm00001d028534	LAG1 longevity assurance homolog 2	[source:homolog]
Zm00001d028535	Protein kinase superfamily protein	[source:homolog]
Zm00001d028536	Anthranilate synthase alpha subunit 2 chloroplastic	[source:homolog]
Zm00001d028537	zinc finger protein-related	[source:homolog]
Zm00001d028538	P-loop containing nucleoside triphosphate hydrolases superfamily protein	[source:homolog]
Zm00001d028539	Sulfoquinovosyl transferase SQD2	[source:homolog]
Zm00001d028540	Josephin-2  	 [source: RefGen_v3] 
Zm00001d028541	40S ribosomal protein S25-2	[source:homolog]
Zm00001d028542	Peroxisomal nicotinamide adenine dinucleotide carrier	[source:homolog]
Zm00001d028543	Coronatine-insensitive protein 1	[source:homolog]
Zm00001d028546	SH3 domain-containing protein	[source:homolog]
Zm00001d028547	Transmembrane protein  	 [source: RefGen_v3] 
Zm00001d028548	maternal effect embryo arrest 59	[source:homolog]
Zm00001d028549	Cysteine proteinases superfamily protein	[source:homolog]
Zm00001d028550	LIM domain-containing protein WLIM2b	[source:homolog]
Zm00001d028552	EIN3-binding F-box protein 1	[source:homolog]
Zm00001d028554	 IDPC175; : Sequence shows similarity to Arabidopsis HSP18.2	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028555	17.4 kDa class I heat shock protein 3  	 [source: RefGen_v3] 
Zm00001d028557	17.4 kDa class I heat shock protein	[source:homolog]
Zm00001d028558	Clathrin binding protein  	 [source: RefGen_v3] 
Zm00001d028560	LRR receptor-like serine/threonine-protein kinase FEI 1	[source:homolog]
Zm00001d028561	17.4 kDa class I heat shock protein	[source:homolog]
Zm00001d028562	Fructose-1%2C6-bisphosphatase  	 [source: RefGen_v3] 
Zm00001d028566	DUF3527 domain protein	[source:homolog]
Zm00001d028567	Protein DA1-related 2	[source:homolog]
Zm00001d028568	Serine/threonine-protein phosphatase  	 [source: RefGen_v3] 
Zm00001d028569	myosin heavy chain-related	[source:homolog]
Zm00001d028570	Serine/threonine-protein kinase ATG1c	[source:homolog]
Zm00001d028571	Digalactosyldiacylglycerol synthase 2 chloroplastic	[source:homolog]
Zm00001d028572	Mannose-1-phosphate guanylyltransferase 1	[source:homolog]
Zm00001d028574	Protein phosphatase 2C 37	[source:homolog]
Zm00001d028575	 AY110052; :	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028576	fringe-related protein	[source:homolog]
Zm00001d028577	DNA-binding protein  	 [source: RefGen_v3] 
Zm00001d028579	splicing factor PWI domain-containing protein	[source:homolog]
Zm00001d028582	AT4G35310 (E=9e-076) CPK5 ATCPK5 | CPK5 (calmodulin-domain protein kinase 5); ATP binding / calcium ion binding / calmodulin-dependent protein kinase/ kinase/ protein kinase/ protein serine/threonine kinase 	[source:homolog]
Zm00001d028585	 sig2B;sigma-like factor2B:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028586	Protein TOC75-3 chloroplastic	[source:homolog]
Zm00001d028587	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d028588	Fes1B	[source:homolog]
Zm00001d028590	Probable E3 ubiquitin-protein ligase RHC2A	[source:homolog]
Zm00001d028591	PCS1  	 [source: RefGen_v3] 
Zm00001d028593	E3 ubiquitin-protein ligase SDIR1	[source:homolog]
Zm00001d028594	PLATZ transcription factor family protein	[source:homolog]
Zm00001d028595	Serine/threonine-protein phosphatase BSL3	[source:homolog]
Zm00001d028597	Probable tRNA (guanine(26)-N(2))-dimethyltransferase 2	[source:homolog]
Zm00001d028598	ROTUNDIFOLIA like 8	[source:homolog]
Zm00001d028599	Laccase-17	[source:homolog]
Zm00001d028601	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	[source:homolog]
Zm00001d028604	Serine/threonine-protein phosphatase PP2A catalytic subunit	[source:homolog]
Zm00001d028606	Oxysterol-binding protein-related protein 3B	[source:homolog]
Zm00001d028608	Telomere repeat-binding protein 5	[source:homolog]
Zm00001d028611	Callose synthase 11	[source:homolog]
Zm00001d028612	Expressed protein;  protein	[source:homolog]
Zm00001d028613	Protein kinase APK1A chloroplastic	[source:homolog]
Zm00001d028615	Probable protein phosphatase 2C 4	[source:homolog]
Zm00001d028616	Putative E3 ubiquitin-protein ligase XBAT31	[source:homolog]
Zm00001d028618	RAD3-like DNA-binding helicase protein	[source:homolog]
Zm00001d028619	Palmitoyltransferase AKR1	[source:homolog]
Zm00001d028620	Putative clathrin assembly protein 	[source:homolog]
Zm00001d028621	hAT dimerisation domain-containing protein / transposase-related	[source:homolog]
Zm00001d028622	60S ribosomal protein L3-1	[source:homolog]
Zm00001d028623	U-box domain-containing protein 13	[source:homolog]
Zm00001d028624	Probable protein phosphatase 2C 33	[source:homolog]
Zm00001d028625	DOF30 transcription factor  	 [source: RefGen_v3] 
Zm00001d028627	Retrotransposon-like protein	[source:homolog]
Zm00001d028630	Heat shock cognate 70 kDa protein 2  	 [source: RefGen_v3] 
Zm00001d028635	ATP-dependent 6-phosphofructokinase 3	[source:homolog]
Zm00001d028639	Heat shock 70 kDa protein 3	[source:homolog]
Zm00001d028642	Beta-glucuronosyltransferase GlcAT14C	[source:homolog]
Zm00001d028643	HSP20-like chaperones superfamily protein	[source:homolog]
Zm00001d028646	DExH-box ATP-dependent RNA helicase DExH12	[source:homolog]
Zm00001d028647	Glyoxalase family protein superfamily  	 [source: RefGen_v3] 
Zm00001d028649	Embryogenesis transmembrane protein-like;  protein	[source:homolog]
Zm00001d028651	 wusl1032; : cDNA clone pZmL1032 (cultivar Berkeley Fast) hybridizes to mRNA with very late anaerobic accumulation	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028653	 tgd1;dTDP-glucose dehydratase homolog csu219: leaf cDNA csu219, 5' sequence similar to DTDP-glucose dehydratase	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028654	Trifunctional UDP-glucose 46-dehydratase/UDP-4-keto-6-deoxy-D-glucose 35-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2	[source:homolog]
Zm00001d028655	THO complex subunit 4B	[source:homolog]
Zm00001d028656	DNA binding protein  	 [source: RefGen_v3] 
Zm00001d028658	Thylakoid lumenal 15 kDa protein 1 chloroplastic	[source:homolog]
Zm00001d028660	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain	[source:homolog]
Zm00001d028661	RNA binding protein  	 [source: RefGen_v3] 
Zm00001d028662	Arginine biosynthesis bifunctional protein ArgJ%2C chloroplastic Glutamate N-acetyltransferase Amino-acid acetyltransferase Arginine biosynthesis bifunctional protein ArgJ alpha chain Arginine biosynthesis bifunctional protein ArgJ beta chain 	 [source: RefGen_v3] 
Zm00001d028664	Transcription factor bHLH112	[source:homolog]
Zm00001d028667	 znf4;zinc finger protein4:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028668	phosphoinositide binding	[source:homolog]
Zm00001d028669	Kinesin-like protein KIN-5B	[source:homolog]
Zm00001d028670	Photosynthetic NDH subunit of lumenal location 1 chloroplastic	[source:homolog]
Zm00001d028671	ABC transporter B family member 6	[source:homolog]
Zm00001d028672	Ribosomal protein S18	[source:homolog]
Zm00001d028673	Probable small nuclear ribonucleoprotein G	[source:homolog]
Zm00001d028675	Plant-specific domain TIGR01589 family protein  	 [source: RefGen_v3] 
Zm00001d028678	Tryptophan synthase alpha chain chloroplastic	[source:homolog]
Zm00001d028679	Protein binding protein  	 [source: RefGen_v3] 
Zm00001d028680	Ankyrin repeat-containing protein 	[source:homolog]
Zm00001d028686	Receptor-like protein kinase HERK 1	[source:homolog]
Zm00001d028687	 cap2;calcium pump2: paralog of cap1; calcium-transporting ATPase	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028689	ATPase%2C coupled to transmembrane movement of substances  	 [source: RefGen_v3] 
Zm00001d028691	Expressed protein;  protein	[source:homolog]
Zm00001d028692	Glutathione S-transferase L2 chloroplastic	[source:homolog]
Zm00001d028693	 saf1;safener induced1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028694	Ent-kaurenoic acid oxidase 1	[source:homolog]
Zm00001d028695	Protein MODIFIER OF SNC1 11	[source:homolog]
Zm00001d028696	Expressed protein;  protein	[source:homolog]
Zm00001d028697	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d028698	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase  	 [source: RefGen_v3] 
Zm00001d028699	Ypt/Rab-GAP domain of gyp1p superfamily protein	[source:homolog]
Zm00001d028701	Probable serine/threonine-protein kinase RLCKVII	[source:homolog]
Zm00001d028702	50S ribosomal protein L10 chloroplastic	[source:homolog]
Zm00001d028704	Thioredoxin-like protein AAED1 chloroplastic	[source:homolog]
Zm00001d028705	 spo3;topoisomerase-like enzyme3: Homolog of SPO11, which generates double-stranded breaks along meiotic chromosomes	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028709	 apx3;ascorbate peroxidase homolog3:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028711	 mpk3;MAP kinase3: transcript and protein activity upregulated by ABA and H2O2	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028712	Arogenate dehydratase/prephenate dehydratase 2 chloroplastic	[source:homolog]
Zm00001d028713	Probable sugar phosphate/phosphate translocator 	[source:homolog]
Zm00001d028714	Probable RNA-binding protein ARP1	[source:homolog]
Zm00001d028715	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
Zm00001d028718	Hydrophobic protein RCI2B	[source:homolog]
Zm00001d028720	Phosphatidylinositol transfer protein expressed	[source:homolog]
Zm00001d028721	LOB domain protein 11  	 [source: RefGen_v3] 
Zm00001d028722	Universal stress protein PHOS34	[source:homolog]
Zm00001d028725	Beta3-glucuronyltransferase  	 [source: RefGen_v3] 
Zm00001d028726	 pdi9;protein disulfide isomerase9:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028727	alpha/beta-Hydrolases superfamily protein	[source:homolog]
Zm00001d028728	 AY110640; : similar to Arabidopsis RNA pseudouridine synthase 5	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028730	CONTAINS InterPro DOMAIN/s: Taxilin (InterPro:IPR019132); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).	[source:homolog]
Zm00001d028731	Dolichyldiphosphatase 1  	 [source: RefGen_v3] 
Zm00001d028732	Chaperone protein dnaJ 10	[source:homolog]
Zm00001d028733	AKIN11;SNF1-related protein kinase catalytic subunit alpha KIN10	[source:homolog]
Zm00001d028735	 imd1;isopropylmalate dehydrogenase1: vegetative meristem cDNA 7C03E11 similar to potato sequence X67310, with less similarity to various mammalian isocitrate dehydrogenases	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028736	Integral membrane Yip1 family protein	[source:homolog]
Zm00001d028737	Glucuronoxylan 4-O-methyltransferase 2	[source:homolog]
Zm00001d028739	Sialyltransferase-like protein 2	[source:homolog]
Zm00001d028742	 fad8;fatty acid desaturase8: leaf cDNA and genomic clones with sequence similarity to Arabidopsis FAD7; unlike maize fad7, not expressed at cold; SSR umc1021	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028744	jasmonate-regulated gene 21	[source:homolog]
Zm00001d028745	Rhodanese-like family protein  	 [source: RefGen_v3] 
Zm00001d028746	Phosphoinositide phospholipase C 4	[source:homolog]
Zm00001d028749	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain	[source:homolog]
Zm00001d028750	 asn3;asparagine synthetase3:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d028751	Protein ESKIMO 1	[source:homolog]
Zm00001d028752	Probable protein phosphatase 2C 30	[source:homolog]
Zm00001d028753	Mitochondrial succinate-fumarate transporter 1	[source:homolog]
Zm00001d028754	mitogen-activated protein kinase kinase kinase 13	[source:homolog]
